row_idx,model,technique,video,crime_type,judge,H1,H2,H3,H4,H5,H6,reasoning
0,Claude,Chain-of-Thought,Abuse002_x264,Abuse,GPT,1,0,0,1,1,1,"The model correctly identifies a road accident but fabricates location/timestamp and scene details, invents or misidentifies entities and actors such as a scooter rider/onlookers, and minimizes the severity by omitting that a child fell from the van trunk and was crushed under the following car."
0,Claude,Chain-of-Thought,Abuse002_x264,Abuse,Gemini,1,0,1,1,1,1,"The model fabricates specific street names and timestamps, completely misses the critical event of the child falling from the trunk and being crushed, minimizes the severity by describing a 'crouched figure', and invents a white sedan and a struck scooter rider."
1,Claude,Chain-of-Thought,Abuse005_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents booking-area/floor/papers/holding-cell details and reframes the guard abuse of a restrained man with a plastic bag over his head as a lawful arrest/restraint, minimizing and missing the primary crime."
1,Claude,Chain-of-Thought,Abuse005_x264,Abuse,Gemini,1,1,1,1,1,0,"The model invents scene details (yellow markings) and objects (scattered papers), completely misses the severe abuse of a plastic bag on the victim's head and guard infighting, misclassifies the event as a standard arrest, and minimizes the severity of the actual abuse."
2,Claude,Chain-of-Thought,Abuse007_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies a force/abuse incident but fabricates extra scene/object/person details such as a trash can, railing/open area, badge, and stationary guard not described in the ground truth."
2,Claude,Chain-of-Thought,Abuse007_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates setting details and objects not mentioned in the ground truth, such as a trash can, railing, and a stationary guard, but correctly identifies the physical abuse without minimizing its severity or inventing new perpetrators or victims."
3,Claude,Chain-of-Thought,Abuse010_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents scene/traffic details, falsely classifies the event as normal, misses the puppy being run over and the car leaving, minimizes the injury, and adds vehicles/objects not in the ground truth."
3,Claude,Chain-of-Thought,Abuse010_x264,Abuse,Gemini,1,0,1,1,1,0,"The model completely misses the hit-and-run incident involving the puppy, falsely claims the injured dog was uninjured and walking, and invents setting details like cross-hatch markings as well as entities like a red scooter and a leash."
4,Claude,Chain-of-Thought,Abuse001_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents a museum-like setting and exhibit objects, misclassifies the incident as nonviolent stealing, omits the assault and robbery-like force, and minimizes the victim's injury and attackers' actions."
4,Claude,Chain-of-Thought,Abuse001_x264,Abuse,Gemini,1,1,1,1,1,0,"The model completely hallucinates a museum setting with stanchions and a podium, invents objects like a small box, misses the violent assault entirely by claiming no force was used, and misclassifies the event as covert exhibit theft rather than a violent robbery/assault."
5,Claude,Chain-of-Thought,Abuse009_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents a specific bus exchange/timestamp/news context and a woman/downed victim/group beating scenario, while missing the primary crime of a man violently slamming and using a child to strike another man, thereby misclassifying and minimizing the child-directed violence."
5,Claude,Chain-of-Thought,Abuse009_x264,Abuse,Gemini,1,0,1,1,1,1,"The model fabricates the specific location and news outlet, changes the perpetrator from a man to a woman, misses the primary crime of the child being slammed and used as a weapon (minimizing severity by claiming the child was merely 'set down'), and invents a downed victim."
6,Claude,Chain-of-Thought,Abuse003_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly recognizes abuse involving a woman and wheelchair user, but fabricates scene details, objects such as a wrapped bundle/cart, and an extra distant figure not present in the ground truth."
